1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002064,0.001999,0.001933,0.001868,0.001803,0.001738,0.001673,0.001608,0.001543,0.001478,0.001413,0.001348,0.001283,0.001218,0.001152,0.001087,0.001022,0.000957,0.000892,0.000827,0.000762,0.000697,0.000632,0.000567,0.000502,0.000437,0.000371,0.000306,0.000241,0.00022,0.0002,0.000179,0.000158,0.000137,0.000116,9.6e-5,7.5e-5,5.4e-5
0.091825,0.090327,0.088829,0.08733,0.085832,0.084334,0.082836,0.081338,0.079839,0.078341,0.076843,0.075345,0.073847,0.072348,0.07085,0.069352,0.067854,0.066356,0.064858,0.063359,0.061861,0.060363,0.058865,0.057367,0.055868,0.05437,0.052872,0.051374,0.049876,0.04962,0.049365,0.049109,0.048853,0.048598,0.048342,0.048087,0.047831,0.047576
0.370297,0.366866,0.363434,0.360002,0.356571,0.353139,0.349708,0.346276,0.342844,0.339413,0.335981,0.33255,0.329118,0.325686,0.322255,0.318823,0.315392,0.31196,0.308528,0.305097,0.301665,0.298234,0.294802,0.291371,0.287939,0.284507,0.281076,0.277644,0.274213,0.273612,0.273012,0.272412,0.271811,0.271211,0.270611,0.27001,0.26941,0.26881
0.695778,0.69463,0.693482,0.692334,0.691187,0.690039,0.688891,0.687743,0.686595,0.685448,0.6843,0.683152,0.682004,0.680856,0.679709,0.678561,0.677413,0.676265,0.675117,0.67397,0.672822,0.671674,0.670526,0.669378,0.668231,0.667083,0.665935,0.664787,0.663639,0.662969,0.662298,0.661628,0.660957,0.660287,0.659616,0.658946,0.658275,0.657605
0.412148,0.411149,0.41015,0.409152,0.408153,0.407154,0.406155,0.405156,0.404157,0.403158,0.402159,0.40116,0.400161,0.399163,0.398164,0.397165,0.396166,0.395167,0.394168,0.393169,0.39217,0.391171,0.390173,0.389174,0.388175,0.387176,0.386177,0.385178,0.384179,0.384127,0.384074,0.384022,0.383969,0.383917,0.383864,0.383812,0.383759,0.383707
0.081891,0.078967,0.076042,0.073117,0.070193,0.067268,0.064343,0.061419,0.058494,0.055569,0.052645,0.04972,0.046795,0.04387,0.040946,0.038021,0.035096,0.032172,0.029247,0.026322,0.023398,0.020473,0.017548,0.014623,0.011699,0.008774,0.005849,0.002925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
